S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
140,MLBL,326.00,-0.30,-0.09,322.00,333.00,320.20,39396.00,326.30,
141,MLBS,720.00,0.00,0.00,721.00,750.00,714.00,544.00,720.00,
142,MLBSL,1840.00,14.00,0.77,1831.00,1850.00,1830.00,841.00,1826.00,
143,MMF1,7.80,0.00,0.00,7.70,7.95,7.40,30387.00,7.80,
144,MMFDB,540.00,-22.90,-4.07,551.90,557.00,540.00,13833.00,562.90,
145,MMKJL,340.00,-21.80,-6.03,360.00,365.00,339.00,29543.00,361.80,
146,MNBBL,405.00,1.00,0.25,409.90,412.00,404.10,47169.00,404.00,
147,MPFL,322.00,4.00,1.26,323.90,336.60,321.00,29949.00,318.00,
148,MSHL,530.00,9.00,1.73,531.40,549.50,501.00,12985.00,521.00,
149,MSLB,865.00,-1.60,-0.18,883.90,883.90,855.00,371.00,866.60,
150,NABBC,376.00,-1.80,-0.48,377.80,377.80,363.60,4895.00,377.80,
151,NABIL,505.90,-0.10,-0.02,513.00,513.00,505.00,56006.00,506.00,
152,NADEP,527.90,3.80,0.73,530.00,530.00,520.10,1657.00,524.10,
153,NBF2,8.21,-0.05,-0.61,8.26,8.47,8.15,7550.00,8.26,
154,NBF3,7.50,0.13,1.76,7.24,7.75,7.24,54265.00,7.37,
155,NBL,240.00,0.00,0.00,244.80,244.80,238.00,95225.00,240.00,
156,NBLD85,847.70,-17.30,-2.00,847.70,847.70,847.70,10.00,865.00,
157,NBLD87,840.20,-9.80,-1.15,850.00,850.00,840.20,175.00,850.00,
158,NESDO,1660.10,-19.90,-1.18,1700.00,1713.00,1655.00,830.00,1680.00,
159,NFS,316.90,2.90,0.92,320.20,326.00,311.00,25577.00,314.00,
160,NGPL,217.50,-5.50,-2.47,224.00,227.40,217.50,71665.00,223.00,
161,NHDL,379.00,-3.50,-0.92,382.50,390.10,375.00,10067.00,382.50,
162,NHPC,154.00,-1.00,-0.65,157.00,163.00,152.90,109606.00,155.00,
163,NIBD2082,1030.00,4.50,0.44,1035.00,1035.00,1030.00,200.00,1025.50,
164,NIBD84,862.00,-17.00,-1.93,862.10,862.10,862.00,25.00,879.00,
165,NIBLGF,8.14,0.02,0.25,8.12,8.70,8.12,63580.00,8.12,
166,NIBLPF,9.30,0.10,1.09,9.38,9.56,9.19,45613.00,9.20,
